 	Задача	Аккаунт
23	Переместить любой/несколько товар(ов)) в папку "Избранное"	Покупатель
24	Проверить отображение товара(ов) в папке "Избранное"	Покупатель
25	Переместить один товар в корзину	Покупатель
26	Проверить отображение товара в корзине	Покупатель
27	Во вкладке "Корзина" изменить количество товара	Покупатель
28	Во вкладке "Корзина" удалить выбранные товары кнопкой "Отменить"	Покупатель
29	Переместить несколько товаров в корзину	Покупатель
30	Проверить отображение всех перемещенных товаров в корзине	Покупатель
31	Открыть информацию о продавце товара	Покупатель
32	Перейти во вкладку "Витрина продавца"	Покупатель
33	Выбрать один товар из витрины продавца и переместить в корзину	Покупатель
34	Проверить отображение товара в корзине	Покупатель
35	Проверить переход во вкладку "Заказы"	Покупатель
36	Проверить отображение заказов во вкладке "Актуальные"	Покупатель
37	Проверить отображение заказов во вкладке "История"	Покупатель
38	Проверить открытие заказа	Покупатель
39	Через вкладку "Аккаунт" сменить роль с покупателя на продавца и обратно	Покупатель
40	Через вкладку "Аккаунт" перейти на другой аккаунт (кнопка "сменить аккаунт")	Покупатель
41	Через вкладку "Аккаунт" перейти в "Профиль" / "Общая информация"	Покупатель
42	Через вкладку "Аккаунт" в окне "Профиль" перейти в раздел "Техника"	Покупатель
43	Через вкладку "Аккаунт" в окне "Профиль" перейдя в раздел "Техника" добавить новую карточку кнопкой "Добавить", в всплывающем окне выбрать "Авто", внести данные и загрузить фото.	Покупатель
44	Проверить отображение добавленной карточки.	Покупатель
45	Редактировать добавленную карточку	Покупатель
46	Удалить добавленную карточку	Покупатель
47	Через вкладку "Аккаунт" в окне "Профиль" перейдя в раздел "Техника" добавить новую карточку кнопкой "Добавить", в всплывающем окне выбрать "Техника", внести данные и загрузить фото.	Покупатель
48	Проверить отображение добавленной карточки.	Покупатель
49	Редактировать добавленную карточку	Покупатель
50	Удалить добавленную карточку	Покупатель
51	Через вкладку "Аккаунт" в окне "Профиль" перейдя в раздел "Мой рейтинг" добавить отзыв к комментарию	Покупатель
52	Через вкладку "Аккаунт" в окне "Профиль" перейдя в раздел "Партнерская программа" воспользоваться ссылкой "Узнать подробнее".	Покупатель
53	Через вкладку "Аккаунт" в окне "Профиль" перейдя в раздел "Документы" проверить наличие документов по ссылкам: (Политика обработки персональных данных; Пользовательское соглашение; Агентский договор; Партнерская программа; Договор купли-продажи; Политика конфиденциальности)	Покупатель
54	Через вкладку "Склад" добавить несколько новых товаров	Продавец
55	Через вкладку "Склад" используя "Расширенный поиск" найти добавленный продавцом товар	Покупатель
56	Через вкладку "Склад" переместить товар в папку "Архив"	Продавец
57	Проверить перемещенный товар в папке "Архив"	Продавец

